station_id,timestamp,datetime_raw,stt,vn_aqi,pm25_obs,pm10_obs,o3_obs,so2_obs,co_obs,no2_obs
HN_GP,2025-12-25 00:00:00,00:00 25/12/2025,8516,60,60,54,,1.0,15.0,21.0
HN_GP,2025-12-25 01:00:00,01:00 25/12/2025,8517,52,45,52,,1.0,15.0,21.0
HN_GP,2025-12-25 02:00:00,02:00 25/12/2025,8518,39,32,39,,1.0,15.0,22.0
HN_GP,2025-12-25 03:00:00,03:00 25/12/2025,8519,27,21,27,,2.0,15.0,21.0
HN_GP,2025-12-25 04:00:00,04:00 25/12/2025,8520,22,14,22,,1.0,15.0,21.0
HN_GP,2025-12-25 05:00:00,05:00 25/12/2025,8521,20,17,20,,1.0,15.0,20.0
HN_GP,2025-12-25 06:00:00,06:00 25/12/2025,8522,24,24,22,,2.0,15.0,21.0
HN_GP,2025-12-25 07:00:00,07:00 25/12/2025,8523,24,24,21,,2.0,15.0,20.0
HN_GP,2025-12-25 08:00:00,08:00 25/12/2025,8524,23,18,19,,1.0,15.0,23.0
HN_GP,2025-12-25 09:00:00,09:00 25/12/2025,8525,24,14,21,,2.0,15.0,24.0
HN_GP,2025-12-25 10:00:00,10:00 25/12/2025,8526,24,13,24,,2.0,15.0,22.0
HN_GP,2025-12-25 11:00:00,11:00 25/12/2025,8527,30,19,30,,2.0,15.0,23.0
HN_GP,2025-12-25 12:00:00,12:00 25/12/2025,8528,33,26,33,,2.0,15.0,24.0
HN_GP,2025-12-25 13:00:00,13:00 25/12/2025,8529,35,29,35,,2.0,15.0,26.0
HN_GP,2025-12-25 14:00:00,14:00 25/12/2025,8530,32,25,32,,2.0,15.0,25.0
HN_GP,2025-12-25 15:00:00,15:00 25/12/2025,8531,31,22,31,,2.0,15.0,26.0
HN_GP,2025-12-25 16:00:00,16:00 25/12/2025,8532,33,21,33,,2.0,15.0,26.0
HN_GP,2025-12-25 17:00:00,17:00 25/12/2025,8533,38,27,38,,2.0,15.0,27.0
HN_GP,2025-12-25 18:00:00,18:00 25/12/2025,8534,41,35,41,,2.0,15.0,27.0
HN_GP,2025-12-25 19:00:00,19:00 25/12/2025,8535,47,43,47,,2.0,15.0,29.0
HN_GP,2025-12-25 20:00:00,20:00 25/12/2025,8536,48,45,48,,1.0,15.0,29.0
HN_GP,2025-12-25 21:00:00,21:00 25/12/2025,8537,49,46,49,,2.0,15.0,27.0
HN_GP,2025-12-25 22:00:00,22:00 25/12/2025,8538,49,49,47,,2.0,15.0,25.0
HN_GP,2025-12-25 23:00:00,23:00 25/12/2025,8539,52,52,48,,2.0,15.0,25.0
HN_GP,2025-12-26 00:00:00,00:00 26/12/2025,8540,56,56,47,,2.0,15.0,23.0
