timestamp,STT,datetime_raw,Nhiệt độ(oC},NOx(µg/Nm3},SO2(µg/Nm3},O3(µg/Nm3},PM-10(µg/Nm3},PM-2-5(µg/Nm3},NO(µg/Nm3},NO2(µg/Nm3},CO(mg/Nm3},Áp suất khí quyển(hPa},InnerTemp(oC},Radiation(W/m2},Hướng gió(Degree},Tốc độ gió(m/s},Độ ẩm(%},vn_aqi,so2_obs,o3_obs,pm10_obs,pm25_obs,no2_obs,co_obs,station_id
2025-12-25 00:00:00,8540,00:00 25/12/2025,19.3925,3.815,1.1167,9.7717,30.7233,13.285,1.5733,2.2425,1096.9533,1014.9033,21.8917,1.8308,93.5083,1.93,72.0283,43,0,3,43,43,1,5,nhan_chinh
2025-12-25 01:00:00,8541,01:00 25/12/2025,18.9,4.1867,1.0025,3.1358,17.2625,5.7158,1.7658,2.4225,1047.2775,1015.3717,24.0492,-0.4008,80.6125,2.3358,70.6267,30,0,1,30,27,1,5,nhan_chinh
2025-12-25 02:00:00,8542,02:00 25/12/2025,18.6558,4.065,1.5692,4.83,17.6975,12.2208,1.5358,2.5275,929.47,1015.41,25.6558,-0.8583,100.9542,2.0025,69.8233,26,1,2,24,26,1,5,nhan_chinh
2025-12-25 03:00:00,8543,03:00 25/12/2025,18.45,3.7792,2.1175,3.755,25.23,18.6742,1.4075,2.3717,899.4525,1015.6992,25.5325,-0.5925,189.635,2.7275,67.29,32,1,1,24,32,1,4,nhan_chinh
2025-12-25 04:00:00,8544,04:00 25/12/2025,18.1958,2.7442,1.1225,6.635,24.4167,16.7092,1.2508,1.4917,956.1083,1015.9433,23.3267,-0.6992,144.4142,3.1758,66.3808,32,0,2,24,32,1,5,nhan_chinh
2025-12-25 05:00:00,8545,05:00 25/12/2025,18.0517,2.6033,0.5067,10.4342,15.1692,8.9083,1.5558,1.045,1054.08,1016.6992,21.3267,-0.765,113.3333,2.33,63.1267,25,0,3,20,25,1,5,nhan_chinh
2025-12-25 06:00:00,8546,06:00 25/12/2025,17.7067,2.6308,0.3917,9.4408,5.3667,1.6542,1.4992,1.1308,1130.315,1017.4883,21.2717,-0.7992,123.6092,1.59,61.245,14,0,3,13,14,1,6,nhan_chinh
2025-12-25 07:00:00,8547,07:00 25/12/2025,17.6658,2.8867,0.5992,6.6283,1.9267,-1.6758,1.1767,1.71,1083.2258,1018.8292,23.3033,1.5575,119.8225,2.7908,56.6867,7,0,2,7,5,1,5,nhan_chinh
2025-12-25 08:00:00,8548,08:00 25/12/2025,17.88,3.345,1.6967,6.435,11.9642,0.3025,1.0325,2.3125,1132.3225,1020.1492,25.5308,26.0375,90.7617,2.3992,51.9775,10,1,2,10,3,1,6,nhan_chinh
2025-12-25 09:00:00,8549,09:00 25/12/2025,18.0933,4.7033,2.4367,5.0767,31.8758,12.6942,1.5242,3.18,1336.3567,1021.1392,25.4883,93.82,74.4975,2.3708,52.6842,21,1,2,21,14,2,7,nhan_chinh
2025-12-25 10:00:00,8550,10:00 25/12/2025,18.365,6.0617,2.3067,7.6483,40.1842,21.8592,1.9933,4.0667,1578.6683,1021.7467,23.3933,98.7158,196.6325,1.8183,48.755,30,1,2,30,29,2,8,nhan_chinh
2025-12-25 11:00:00,8551,11:00 25/12/2025,18.78,6.3758,2.2483,10.9042,31.3475,14.41,2.1717,4.2058,1505.8042,1021.4817,21.7258,168.42,150.2933,1.6,46.3217,31,1,3,31,29,2,8,nhan_chinh
2025-12-25 12:00:00,8552,12:00 25/12/2025,19.4083,13.7742,2.4633,4.3942,24.645,5.5933,5.0308,8.74,2041.1058,1020.7,21.725,179.0775,172.9225,2.8833,43.4608,28,1,1,28,20,4,10,nhan_chinh
2025-12-25 13:00:00,8553,13:00 25/12/2025,19.8133,15.89,3.9817,1.4917,24.6233,2.4117,5.9308,9.9583,2435.2917,1019.5225,24.2275,123.8583,190.2033,1.6758,42.1767,26,2,0,26,12,5,12,nhan_chinh
2025-12-25 14:00:00,8554,14:00 25/12/2025,19.9392,22.5692,5.4217,1.9592,35.4567,9.9767,13.2217,9.3483,2314.025,1018.8,25.4333,94.3592,217.8792,1.9317,42.1817,31,2,1,31,16,5,12,nhan_chinh
2025-12-25 15:00:00,8555,15:00 25/12/2025,20.2517,21.245,4.6833,2.5192,35.9792,21.2775,12.1167,9.1283,2235.7492,1018.15,25.4117,119.3192,199.2908,1.3925,43.1242,33,2,1,33,29,5,11,nhan_chinh
2025-12-25 16:00:00,8556,16:00 25/12/2025,20.4158,18.5575,4.4817,2.6808,47.225,25.5242,8.3417,10.215,2741.7075,1018.145,23.5383,85.4408,146.0125,1.2675,44.3308,40,2,1,40,40,5,14,nhan_chinh
2025-12-25 17:00:00,8557,17:00 25/12/2025,20.0933,17.6375,3.0933,2.5033,41.0083,19.5608,5.1858,12.4517,2815.6392,1018.5942,21.965,24.7508,192.2258,1.2208,45.3925,41,1,1,41,40,6,14,nhan_chinh
2025-12-25 18:00:00,8558,18:00 25/12/2025,19.7391,17.2391,4.0864,1.8836,28.8373,11.6836,4.2627,12.9773,3413.8582,1019.0009,21.8873,-0.1045,133.1718,0.7791,46.9009,35,2,1,35,32,6,17,nhan_chinh
2025-12-25 19:00:00,8559,19:00 25/12/2025,19.2492,14.75,3.6392,1.8442,28.6267,10.0392,3.475,11.2758,3118.0758,1019.6517,24.2475,-2.1258,179.1642,0.71,48.4858,32,1,1,32,26,6,16,nhan_chinh
2025-12-25 20:00:00,8560,20:00 25/12/2025,19.175,14.4433,3.9125,1.9858,38.1267,17.0842,4.5708,9.8733,2529.3708,1020.3233,25.6125,-1.4867,141.8308,0.7133,49.4433,35,2,1,35,30,5,13,nhan_chinh
2025-12-25 21:00:00,8561,21:00 25/12/2025,18.8217,10.1825,3.8392,3.0867,49.5583,25.2575,1.7392,8.445,1583.9008,1020.7075,25.4392,-1.0692,136.2067,1.1108,49.1833,42,2,1,42,40,4,8,nhan_chinh
2025-12-25 22:00:00,8562,22:00 25/12/2025,18.3775,6.2675,2.7392,8.12,50.6367,35.2325,0.5567,5.7108,1317.3675,1021.1992,23.5875,-1.1867,109.4933,1.7442,49.3308,55,1,3,46,55,3,7,nhan_chinh
